(22315, 4.24242, 0.06843),
(22317, 4.87781, 0.51808),
(22319, 4.99511, 0.90909),
(22336, 5.00000, 2.97165),
(22365, 5.00000, 4.35484),
(22393, 5.00000, 4.77028),
(22423, 5.00000, 4.90714),
(22452, 5.00000, 4.96090),
(22481, 5.00000, 4.98045),
(22510, 5.00000, 4.99022),
(22540, 5.00000, 4.99022),
(22568, 5.00000, 4.99511),
(22598, 5.00000, 4.99511),
(22635, 5.00000, 4.99511),
(22656, 5.00000, 4.99511),
(22762, 5.00000, 4.99511),
(22818, 5.00000, 4.99511),
(22856, 5.00000, 4.99511),
(22859, 5.00000, 4.99511),
